0,1,2,3,4,5,6,7,8,9,10
hard cheese,cream cheese ,,,,,,,,,
beef,salt,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
beef,canned beer,,,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
whole milk,brown bread,pastry,dessert,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
rolls/buns,soda,,,,,,,,,
root vegetables,yogurt,newspapers,,,,,,,,
salt,canned beer,roll products ,,,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
mayonnaise,misc. beverages,napkins,,,,,,,,
soda,sweet spreads,bottled beer,frozen meals,pasta,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
sausage,sliced cheese,salty snack,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
dessert,bottled water,,,,,,,,,
ham,whole milk,sliced cheese,baking powder,,,,,,,
whole milk,soda,,,,,,,,,
soda,yogurt,,,,,,,,,
soda,white wine,,,,,,,,,
canned fish,rolls/buns,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
dessert,condensed milk,rolls/buns,shopping bags,,,,,,,
ready soups,pastry,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
brown bread,yogurt,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
citrus fruit,pet care,,,,,,,,,
other vegetables,pip fruit,frozen vegetables,,,,,,,,
pork,cream cheese ,,,,,,,,,
oil,butter,,,,,,,,,
meat,cake bar,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
long life bakery product,beef,tidbits,butter,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
pastry,frozen fish,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
pork,whole milk,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
curd,dessert,cling film/bags,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,soda,soda,napkins,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
root vegetables,other vegetables,dessert,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
UHT-milk,cling film/bags,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
sausage,soda,,,,,,,,,
pork,frozen meals,,,,,,,,,
yogurt,salty snack,,,,,,,,,
